entropy,energy,hybrid,mc_dropout,ensemble
0.09188984,-15.709425,-7.808768,0.08971297,0.08858529
0.14944802,-10.190023,-5.0202875,0.141091,0.14596958
0.052266385,-24.9751,-12.461416,0.053689905,0.07084297
0.074467875,-22.251806,-11.088669,0.06477308,0.08273833
0.052641526,-15.660158,-7.803758,0.070952006,0.049052056
0.051639356,-27.325193,-13.636777,0.06705625,0.14995427
0.014132351,-21.455431,-10.72065,0.018048495,0.0555897
0.07331877,-19.844921,-9.885801,0.07211168,0.12213523
0.108111694,-15.045507,-7.468698,0.124444075,0.14223972
0.065103464,-16.202711,-8.068804,0.03524913,0.059842084
0.17477934,-18.637362,-9.231291,0.21774288,0.21244557
0.1011155,-19.933592,-9.916238,0.046707295,0.25042135
0.0022908114,-20.48791,-10.242809,0.002990584,0.03174933
0.11357018,-17.485731,-8.686081,0.11209039,0.074304685
0.11561,-21.400415,-10.642403,0.12291504,0.10778567
0.19979765,-15.542403,-7.671303,0.20606849,0.16650896
0.084977455,-25.143349,-12.529185,0.10787966,0.060952723
0.036053732,-18.786413,-9.375179,0.06808834,0.11068629
0.009525132,-22.784063,-11.387269,0.013347593,0.017347328
0.102253646,-15.701339,-7.7995424,0.09165431,0.18964322
0.087362565,-16.133877,-8.023257,0.106636256,0.059837215
0.029410277,-27.793495,-13.882043,0.008747283,0.047314487
0.0014322628,-22.958046,-11.478307,0.003469936,0.03879584
0.1328285,-11.35481,-5.6109905,0.12068628,0.12956552
0.04638244,-15.231611,-7.592614,0.05646361,0.13247977
0.048762772,-23.782393,-11.866815,0.0397683,0.07731535
0.059285346,-20.182985,-10.06185,0.060227208,0.10395397
0.06449187,-16.945637,-8.440573,0.065775454,0.1446691
0.06793356,-18.520086,-9.226076,0.07541994,0.12962614
0.06457275,-18.862167,-9.398797,0.03753848,0.08365313
0.12398848,-20.78671,-10.331361,0.16289794,0.12962991
0.022003597,-15.555662,-7.7668295,0.01603116,0.012101214
0.030681312,-19.035896,-9.502607,0.02947202,0.06084775
0.00016535031,-27.979883,-13.989859,0.0004522128,0.010694015
0.024548747,-21.229198,-10.6023245,0.017898692,0.043565527
0.12488209,-18.927593,-9.401356,0.13488743,0.121442854
0.027845206,-20.589195,-10.280675,0.019932792,0.03003233
0.063286185,-19.208975,-9.5728445,0.06270748,0.07600652
0.11865084,-14.974471,-7.4279103,0.14303993,0.16989581
0.028443038,-20.51844,-10.244999,0.017070755,0.067317925
0.0040965886,-30.170492,-15.083198,0.0073883994,0.0047411383
0.023102848,-22.347523,-11.1622095,0.019805515,0.07457047
0.027349299,-16.459814,-8.216232,0.04647834,0.09365128
0.038791496,-17.245462,-8.603335,0.04581343,0.018691013
0.10727902,-19.23131,-9.562016,0.14671254,0.16994004
0.16895567,-24.685375,-12.25821,0.21594113,0.22836822
0.032566197,-22.15414,-11.060787,0.0294358,0.05637744
0.06495428,-22.277126,-11.106086,0.07625647,0.11619511
0.049875285,-19.539877,-9.745001,0.05376056,0.11020649
0.019091893,-27.702765,-13.841836,0.006882339,0.06241272
0.1354404,-13.372012,-6.6182857,0.17867042,0.20756882
0.0010705113,-23.589146,-11.794038,0.0040034456,0.00464896
0.1316069,-19.373362,-9.620877,0.11006789,0.14142388
0.1373127,-20.662577,-10.262632,0.14103608,0.16292882
0.0739256,-19.83022,-9.878147,0.06586304,0.065598875
0.07135415,-17.10176,-8.515203,0.15567881,0.17829986
0.06933751,-24.23677,-12.083716,0.070797436,0.124292836
0.013366432,-21.375662,-10.681148,0.0212199,0.021983033
0.14389676,-11.945211,-5.900657,0.1520789,0.21434714
0.0634727,-18.653173,-9.29485,0.07263776,0.09903602
0.08663307,-13.579241,-6.746304,0.10849863,0.0861459
0.035005584,-25.16213,-12.563562,0.05531593,0.08086818
0.08007543,-16.198753,-8.059339,0.08071521,0.113640025
0.13479334,-20.686127,-10.275666,0.1665192,0.22410186
0.0372773,-19.640778,-9.80175,0.029132942,0.04847404
